DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2007,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2008,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2009,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2010,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2011,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2012,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2013,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2014,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2015,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2016,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2017,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2018,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2019,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT33,2020,189,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2000,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2001,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2002,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2003,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2004,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2005,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2006,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2007,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2008,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2009,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2010,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2011,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2012,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2013,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2014,63,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM,AT34,2015,63,
